"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"74"	"WS"	"2"	"168"	"168"	"8"	"NO"	6.83333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	31.2
"75"	"WS"	"2"	"168"	"168"	"1"	"NO"	NA	2017-05-24	2017-06-09	2017-05-24	2017-06-09	2017-06-02	17318	16	31.2
"76"	"WS"	"2"	"168"	"168"	"4"	"NO"	NA	2017-06-09	2017-06-16	2017-06-09	2017-06-09	2017-06-16	17329.5	7	31.2
"77"	"WS"	"2"	"168"	"168"	"9"	"NO"	7.66666666666667	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-09	17327.5	17	31.2
"78"	"WS"	"2"	"168"	"168"	"7"	"NO"	7.66666666666667	2017-05-28	2017-06-19	2017-05-28	2017-06-16	2017-06-16	17325	22	31.2
"79"	"WS"	"2"	"168"	"168"	"5"	"NO"	6.66666666666667	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	31.2
"80"	"WS"	"2"	"168"	"168"	"6"	"NO"	6.66666666666667	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	31.2
"81"	"WS"	"2"	"168"	"168"	"3"	"NO"	8.33333333333333	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-09	17327.5	17	31.2
"82"	"17"	"5"	"172"	"172"	"9"	"NO"	NA	2017-06-02	2017-06-16	2017-06-09	2017-06-09	2017-06-02	17326	14	12.1
"83"	"17"	"5"	"172"	"172"	"7"	"NO"	7	2017-06-09	2017-06-16	2017-06-09	2017-06-09	2017-06-16	17329.5	7	12.1
"84"	"17"	"5"	"172"	"172"	"2"	"NO"	NA	2017-06-16	2017-06-16	NA	NA	2017-06-16	17333	0	12.1
"85"	"17"	"5"	"172"	"172"	"5"	"NO"	8.33333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-02	17323.5	19	12.1
"86"	"17"	"5"	"172"	"172"	"8"	"NO"	6.66666666666667	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-06-02	17313	12	12.1
"87"	"17"	"5"	"172"	"172"	"10"	"NO"	7.16666666666667	2017-05-24	2017-06-16	2017-05-24	2017-06-02	2017-05-24	17321.5	23	12.1
"88"	"17"	"5"	"172"	"172"	"1"	"NO"	8.83333333333333	2017-05-24	2017-06-16	2017-05-24	2017-06-02	2017-05-28	17321.5	23	12.1
"89"	"17"	"5"	"172"	"172"	"4"	"NO"	7.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-09	17318	16	12.1
"90"	"17"	"1"	"173"	"173"	"5"	"NO"	NA	2017-05-24	2017-06-02	2017-05-21	2017-06-09	2017-06-02	17314.5	9	11.3
"91"	"17"	"1"	"173"	"173"	"3"	"NO"	NA	2017-05-24	2017-05-28	2017-05-21	2017-06-02	2017-05-24	17312	4	11.3
"92"	"17"	"1"	"173"	"173"	"6"	"NO"	NA	2017-05-24	2017-05-28	2017-05-18	2017-06-02	2017-05-24	17312	4	11.3
"93"	"17"	"1"	"173"	"173"	"4"	"NO"	NA	NA	NA	2017-05-24	2017-05-24	NA	NA	NA	11.3
"94"	"17"	"1"	"173"	"173"	"2"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	11.3
"95"	"17"	"5"	"215"	"215"	"5"	"NO"	6.66666666666667	2017-05-24	2017-06-19	2017-05-24	2017-06-09	2017-06-09	17323	26	9.9
"96"	"17"	"5"	"215"	"215"	"7"	"NO"	7.66666666666667	2017-05-28	2017-06-02	2017-05-24	2017-06-02	2017-05-28	17316.5	5	9.9
"97"	"17"	"5"	"215"	"215"	"6"	"NO"	7.16666666666667	2017-05-28	2017-06-09	2017-05-24	2017-06-02	2017-06-02	17320	12	9.9
"98"	"17"	"5"	"215"	"215"	"4"	"NO"	NA	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-05-28	17318	16	9.9
"99"	"17"	"5"	"215"	"215"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	9.9
"100"	"WS"	"1"	"218"	"218"	"1"	"NO"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	27.9
"101"	"WS"	"1"	"218"	"218"	"6"	"NO"	NA	2017-05-28	2017-05-28	2017-05-24	2017-06-02	2017-05-28	17314	0	27.9
