"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"135"	"H339"	"H08"	NA	17.8	17.8	NA	NA	NA	NA	NA	NA	48	42	0	1	83	4	6333.45078963702
"136"	"H34"	"H02"	2017-06-19	14.5333333333333	16.7	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"137"	"H340"	"H08"	2017-06-21	18.8666666666667	18.9	11	360.25	"yes"	11	360.25	32.75	29	32	3	10	127	7.5	2915.39798253133
"138"	"H341"	"H08"	2017-06-21	17.7	18.1	36	1395	"yes"	36	1395	38.75	55	53	7	28	32	11	9157.74258521425
"139"	"H342"	"H08"	2017-07-07	14.9	15.1	15	517.5	"yes"	15	517.5	34.5	17	64	4	11	21	8	3418.0528071057
"140"	"H343"	"H08"	NA	13.9333333333333	13	NA	NA	NA	NA	NA	NA	33	30	0	1	60	2.7	3110.1767270539
"141"	"H344"	"H08"	2017-06-27	13.4666666666667	12.6	4	138.6666666667	"yes"	4	138.6666666667	34.666666666675	29	11	1	32	106	6.5	1002.16805649514
"142"	"H345"	"H08"	2017-06-27	12.4333333333333	11	23	879.75	"yes"	23	879.75	38.25	71	42	4	12	44	9	9368.22929300476
"143"	"H346"	"H09"	2017-06-27	9.9	9	1	NA	"no"	1	NA	NA	5	6	1	15	58	2.5	94.2477796076938
"144"	"H347"	"H09"	2017-06-27	10.3	9.2	3	124	"yes"	3	124	41.3333333333333	3	8	1	32	102	6	75.398223686155
"145"	"H348"	"H09"	NA	10.6	9.2	NA	NA	NA	NA	NA	NA	36	28	0	1	57	2.3	3166.72539481851
"146"	"H349"	"H09"	2017-07-07	10.8333333333333	9.2	4	94.6666666667	"yes"	4	94.6666666667	23.666666666675	34	27	2	32	132	8.8	2883.98205599543
"147"	"H35"	"H02"	NA	12.3666666666667	13.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"148"	"H350"	"H09"	2017-07-12	10.8333333333333	9.4	2	10	"yes"	2	10	5	55	27	1	15	87	4.5	4665.26509058084
"149"	"H351"	"H09"	NA	10.8333333333333	9.5	NA	NA	NA	NA	NA	NA	55	29	0	1	61	2.9	5010.84028247572
"150"	"H352"	"H09"	2017-07-01	10.7666666666667	9.2	3	60	"yes"	3	60	20	44	6	1	24	102	6	829.380460547705
"151"	"H353"	"H09"	2017-07-01	10.6666666666667	9	7	70	"yes"	7	70	10	80	62	3	38	120	7.4	15582.2995618054
"152"	"H354"	"H09"	2017-06-21	10.6	9.1	8	94	"yes"	8	94	11.75	73	53	3	42	28	8.2	12154.8219767389
"153"	"H355"	"H09"	2017-07-07	10.6	9.4	2	56	"yes"	2	56	28	35	30	1	15	104	6.3	3298.67228626928
"154"	"H356"	"H09"	2017-06-27	10.6333333333333	9.1	28	490	"yes"	28	490	17.5	55	57	7	22	127	8	9848.892969004
"155"	"H357"	"H09"	2017-07-01	10.6	9	8	194	"yes"	8	194	24.25	44	42	1	32	102	6	5805.66322383394
