record	id	plot	x	y	peak	comments	date	temp	stage
1	H372	H09	4	3,55	X		25/05/2017	8,8	VS
1	H373	H09	5,9	2,7	X		25/05/2017	9,1	VL
1	H374	H09	4,5	1,25	X		25/05/2017	9,4	VS
1	H375	H09	10,1	3,05	-		25/05/2017	9,5	VL
1	H376	H10	1	0	-		26/05/2017	25,2	B2
1	H377	H10	1,3	0,35	X		26/05/2017	20,7	VL
1	H378	H10	1,1	-0,6	X		26/05/2017	24,3	B1
1	H379	H10	2,25	-0,5	-		26/05/2017	20	VL
1	H380	H10	2,2	-0,4	X		26/05/2017	19,7	VL
1	H381	H10	1,1	1,65	X		26/05/2017	19,5	VL
1	H382	H10	6,05	3,6	X		26/05/2017	17,6	VL
1	H383	H10	14,5	2,05	X		26/05/2017	21	VL
1	H384	H10	14,5	1,55	X		26/05/2017	22,4	VL
1	H385	H10	15,2	2,5	X		26/05/2017	26,6	B1
1	H386	H10	15,8	2,85	X		26/05/2017	23,5	VL
1	H387	H10	14,55	5,6	X		26/05/2017	25,3	B2
1	H388	H10	17,88	6,5	X		26/05/2017	22,3	VL
1	H389	H10	18,1	5,45	-		26/05/2017	22,4	VS
1	H390	H10	19,1	5	X		26/05/2017	21,8	B1
1	H391	H10	19,85	4,95	X		26/05/2017	20,5	B2
1	H392	H10	20,2	5,8	X		26/05/2017	18	B1
1	H393	H10	20,9	6,15	X		26/05/2017	19	VL
1	H394	H10	27,35	4,3	X		26/05/2017	12	B1
1	H395	H10	27,7	4,1	X		26/05/2017	12	VL
1	H396	H10	30,3	5,6	X		26/05/2017	10,7	B1
1	H397	H10	28,8	0	-	wrong species	26/05/2017	11,3	B1
1	H398	H10	3,3	5,6	-		26/05/2017	24	VL
1	H399	H10	17,9	4,55	X		26/05/2017	19,9	B3
1	H800	H10	19,1	5,1	X		26/05/2017	21,6	VL
1	H801	H10	2,75	-0,85	X		26/05/2017	19,4	VS
1	H802	H10	2,3	-1,05	X		26/05/2017	16,6	B1
1	H803	H10	6,55	9,6	-		26/05/2017	20	VL
1	H804	H10	9,65	6	X		26/05/2017	20,2	B2
1	H805	H10	19,8	5,2	-	08/06/17: nail still in ground but no plant found close	26/05/2017	20,4	VL
1	H806	H13	1,3	1,75	X		26/05/2017	19,3	B2
1	H807	H13	1,5	1,35	X		26/05/2017	20,7	B1
1	H808	H13	2	1,7	X		26/05/2017	19	VL
1	H809	H13	2	1,05	X		26/05/2017	21,8	VL
1	H810	H13	2,7	1,8	X		26/05/2017	20,3	B3
1	H811	H13	2,9	1,6	X		26/05/2017	22,6	B2
1	H812	H13	2,95	-0,15	X		26/05/2017	28	B1
1	H813	H13	3,2	0,15	X		26/05/2017	23,7	B1
1	H814	H13	3,5	0,35	X		26/05/2017	23,1	VL
1	H815	H13	3,7	1,05	X		26/05/2017	23,6	B3
1	H816	H13	4,5	0,1	X		26/05/2017	19,9	B2
1	H817	H13	6	-0,5	X		26/05/2017	23,7	B2
1	H818	H13	7,15	0,55	X		26/05/2017	21	B3
1	H819	H13	7,15	0,85	X		26/05/2017	23	B3
1	H820	H13	8,25	0,3	X		26/05/2017	23	B3
1	H821	H13	9,1	0,35	X		26/05/2017	22,4	VL
1	H822	H13	10,35	0,3	X		26/05/2017	25,7	B2
1	H823	H13	11	1,3	X		26/05/2017	24,8	B4
1	H824	H13	12	1,25	X		26/05/2017	25,7	B1
1	H825	H13	12,05	0,85	-		26/05/2017	36,2	B2
1	H826	H13	5,55	1,05	X		26/05/2017	18	VL
1	H827	H13	5,55	2,2	X		26/05/2017	21,2	B3
1	H828	H13	6,5	0,45	X		26/05/2017	21,5	B2
1	H829	H13	12	1,05	X		26/05/2017	26	B2
1	H830	H13	10,4	1,2	X		26/05/2017	22,4	B2
1	H831	H13	7,75	0,6	-		26/05/2017	24,2	VL
1	H832	H13	3,6	1,4	X		26/05/2017	21,8	VL
1	H833	H13	2,75	1,35	X		26/05/2017	22	B1
1	H834	HC1	11,8	2,25	X		06/06/2017	7	B1
1	H835	HC1	10,85	7,85	X		06/06/2017	7,2	VL
1	H836	HC1	10,6	7,4	X		06/06/2017	7	VL
1	H837	HC1	10,25	7,6	X		06/06/2017	7,6	B1
1	H838	HC1	9,6	6,9	X		06/06/2017	7	VL
1	H839	HC1	8,35	7,6	X		06/06/2017	7,2	B4
1	H840	HC1	8,1	7	X		06/06/2017	7	B1
1	H841	HC1	7,15	6	X		06/06/2017	7,1	B1
1	H842	HC1	7,75	7,2	X		06/06/2017	7,1	B2
1	H843	HC1	7,4	7,5	X		06/06/2017	7	B1
1	H844	HC1	7,15	6,7	X		06/06/2017	7	B2
1	H845	HC1	7,6	6,95	X		06/06/2017	7	B2
1	H846	HC1	7,4	6,45	X		06/06/2017	7	B1
1	H847	HC1	6,95	7,25	X		06/06/2017	7,4	B1
1	H848	HC1	7,4	5,8	X	16/10/17: WAS LOST BUT FOUND AGAIN	06/06/2017	7	B1
1	H849	HC1	6,6	5,1	X		06/06/2017	7,1	VL
1	H850	HC1	6,3	5,8	X		06/06/2017	7	B2
1	H851	HC1	4,5	5	-		06/06/2017	7	VL
1	H852	HC1	5	6,7	X		06/06/2017	7,1	B2
1	H853	HC1	4,7	7,4	X		06/06/2017	7	B1
1	H854	HC1	3,45	7	X		06/06/2017	6,6	VL
1	H855	HC1	3,1	7,3	-		06/06/2017	6,3	B1
1	H856	HC1	3	8	X		06/06/2017	6,7	VL
1	H857	HC1	2,2	7,4	X		06/06/2017	6,6	B1
1	H858	HC1	3,5	5,6	X		06/06/2017	6,9	B1
1	H859	HC1	3,15	5,3	X		06/06/2017	7,2	B1
1	H860	HC1	1,3	5,5	X		06/06/2017	6,5	VL
1	H861	HC1	0,5	6,6	X		06/06/2017	7	B1
1	H862	HC1	0,5	6,8	X		06/06/2017	7,5	VL
1	H863	HC1	2,35	5,9	X		06/06/2017	7,1	B1
1	H864	HC2a	0,6	2,25	X		06/06/2017	6,6	B1
1	H865	HC2a	0,8	2,5	X		06/06/2017	6,8	VL
1	H866	HC2a	0,9	2,7	X		06/06/2017	7	VL
