"id.x" "x.x" "y.x" "plot.x" "temp1.x" "id.y" "x.y" "y.y" "plot.y" "temp1.y" "dist" "temp_diff"
"1674" "H1101" 3.3 2.45 "HC4" 4.6 "H1102" 2.3 2.3 "HC4" 5.9 1.01118742080783 1.3
"1675" "H1101" 3.3 2.45 "HC4" 4.6 "H1103" 2.3 2.2 "HC4" 6.3 1.03077640640442 1.7
"1676" "H1101" 3.3 2.45 "HC4" 4.6 "H1104" 9.15 2.8 "HC4" 5.6 5.86046073274107 1
"1677" "H1101" 3.3 2.45 "HC4" 4.6 "H1105" 15.3 0.45 "HC4" 6.1 12.1655250605964 1.5
"1678" "H1101" 3.3 2.45 "HC4" 4.6 "H1106" 15.75 1.15 "HC4" 6.7 12.5176874861134 2.1
"1679" "H1101" 3.3 2.45 "HC4" 4.6 "H1107" 16 1.1 "HC4" 6.7 12.771550414887 2.1
"1680" "H1101" 3.3 2.45 "HC4" 4.6 "H1108" 13.15 8.55 "HC4" 7 11.5858750209037 2.4
"1681" "H1101" 3.3 2.45 "HC4" 4.6 "H1109" 13.3 8.7 "HC4" 7.2 11.7924764150708 2.6
"1682" "H1101" 3.3 2.45 "HC4" 4.6 "H1110" 13.15 8.9 "HC4" 7.6 11.7739118393166 3
"1683" "H1101" 3.3 2.45 "HC4" 4.6 "H1111" 8.65 9 "HC4" 6.6 8.45724541443608 2
"1684" "H1101" 3.3 2.45 "HC4" 4.6 "H1112" 8 8.3 "HC4" 6 7.50416550990182 1.4
"1685" "H1101" 3.3 2.45 "HC4" 4.6 "H1113" 8.05 7.5 "HC4" 6 6.93289261419792 1.4
"1686" "H1101" 3.3 2.45 "HC4" 4.6 "H1114" 7.95 7.5 "HC4" 6.8 6.86476510887299 2.2
"1687" "H1101" 3.3 2.45 "HC4" 4.6 "H1115" 7.95 7 "HC4" 7 6.50576667272966 2.4
"1688" "H1101" 3.3 2.45 "HC4" 4.6 "H1116" 6.8 8.2 "HC4" 6.6 6.73145600891813 2
"1689" "H1101" 3.3 2.45 "HC4" 4.6 "H1117" 6.1 5.5 "HC4" 5 4.14035022673203 0.4
"1690" "H1101" 3.3 2.45 "HC4" 4.6 "H1118" 5.8 8.2 "HC4" 5.9 6.26996810199223 1.3
"1691" "H1101" 3.3 2.45 "HC4" 4.6 "H1119" 5.3 7.7 "HC4" 6 5.61805126356106 1.4
"1692" "H1101" 3.3 2.45 "HC4" 4.6 "H1120" 2.6 7.4 "HC4" 4.8 4.99924994374156 0.2
"1693" "H1101" 3.3 2.45 "HC4" 4.6 "H1121" 0.4 5.8 "HC4" 5.7 4.43085770477906 1.1
"1694" "H1101" 3.3 2.45 "HC4" 4.6 "H1122" 9.5 8.9 "HC4" 6.4 8.94664741677015 1.8
"1695" "H1101" 3.3 2.45 "HC4" 4.6 "H1123" 12.6 9.1 "HC4" 8 11.4329567479283 3.4
"2069" "H1101" 3.3 2.45 "HC4" 4.6 "H894" 1.25 0.85 "HC4" 6.5 2.60048072478917 1.9
"2070" "H1101" 3.3 2.45 "HC4" 4.6 "H895" 1.95 1.15 "HC4" 6.3 1.87416648139913 1.7
"2071" "H1101" 3.3 2.45 "HC4" 4.6 "H896" 0.1 1.7 "HC4" 4.1 3.28671568590896 0.5
"2072" "H1101" 3.3 2.45 "HC4" 4.6 "H897" 10.4 -0.05 "HC4" 5.8 7.52728370662353 1.2
"2073" "H1101" 3.3 2.45 "HC4" 4.6 "H898" 0.25 3.95 "HC4" 5.7 3.39889687987147 1.1
"2074" "H1101" 3.3 2.45 "HC4" 4.6 "H899" 1.15 4.05 "HC4" 5.2 2.68001865665148 0.600000000000001
"2089" "H1102" 2.3 2.3 "HC4" 5.9 "H1100" 1.2 3.25 "HC4" 5 1.45344418537486 0.9
"2090" "H1102" 2.3 2.3 "HC4" 5.9 "H1101" 3.3 2.45 "HC4" 4.6 1.01118742080783 1.3
"2092" "H1102" 2.3 2.3 "HC4" 5.9 "H1103" 2.3 2.2 "HC4" 6.3 0.0999999999999996 0.399999999999999
"2093" "H1102" 2.3 2.3 "HC4" 5.9 "H1104" 9.15 2.8 "HC4" 5.6 6.86822393344888 0.300000000000001
"2094" "H1102" 2.3 2.3 "HC4" 5.9 "H1105" 15.3 0.45 "HC4" 6.1 13.1309748305295 0.199999999999999
"2095" "H1102" 2.3 2.3 "HC4" 5.9 "H1106" 15.75 1.15 "HC4" 6.7 13.4990740423186 0.8
"2096" "H1102" 2.3 2.3 "HC4" 5.9 "H1107" 16 1.1 "HC4" 6.7 13.7524543264102 0.8
"2097" "H1102" 2.3 2.3 "HC4" 5.9 "H1108" 13.15 8.55 "HC4" 7 12.5213817128941 1.1
"2098" "H1102" 2.3 2.3 "HC4" 5.9 "H1109" 13.3 8.7 "HC4" 7.2 12.7263506159464 1.3
"2099" "H1102" 2.3 2.3 "HC4" 5.9 "H1110" 13.15 8.9 "HC4" 7.6 12.6997047209768 1.7
"2100" "H1102" 2.3 2.3 "HC4" 5.9 "H1111" 8.65 9 "HC4" 6.6 9.23106169408481 0.699999999999999
"2101" "H1102" 2.3 2.3 "HC4" 5.9 "H1112" 8 8.3 "HC4" 6 8.27586853448023 0.0999999999999996
"2102" "H1102" 2.3 2.3 "HC4" 5.9 "H1113" 8.05 7.5 "HC4" 6 7.75258021564434 0.0999999999999996
"2103" "H1102" 2.3 2.3 "HC4" 5.9 "H1114" 7.95 7.5 "HC4" 6.8 7.67870431778695 0.899999999999999
"2104" "H1102" 2.3 2.3 "HC4" 5.9 "H1115" 7.95 7 "HC4" 7 7.34931969640728 1.1
"2105" "H1102" 2.3 2.3 "HC4" 5.9 "H1116" 6.8 8.2 "HC4" 6.6 7.42024258363566 0.699999999999999
"2106" "H1102" 2.3 2.3 "HC4" 5.9 "H1117" 6.1 5.5 "HC4" 5 4.96789693934969 0.9
"2107" "H1102" 2.3 2.3 "HC4" 5.9 "H1118" 5.8 8.2 "HC4" 5.9 6.860029154457 0
"2108" "H1102" 2.3 2.3 "HC4" 5.9 "H1119" 5.3 7.7 "HC4" 6 6.1773780845922 0.0999999999999996
"2109" "H1102" 2.3 2.3 "HC4" 5.9 "H1120" 2.6 7.4 "HC4" 4.8 5.10881590977792 1.1
"2110" "H1102" 2.3 2.3 "HC4" 5.9 "H1121" 0.4 5.8 "HC4" 5.7 3.98246155034798 0.2
"2111" "H1102" 2.3 2.3 "HC4" 5.9 "H1122" 9.5 8.9 "HC4" 6.4 9.76729235765982 0.5
"2112" "H1102" 2.3 2.3 "HC4" 5.9 "H1123" 12.6 9.1 "HC4" 8 12.3422040171114 2.1
"2486" "H1102" 2.3 2.3 "HC4" 5.9 "H894" 1.25 0.85 "HC4" 6.5 1.79025137899682 0.6
"2487" "H1102" 2.3 2.3 "HC4" 5.9 "H895" 1.95 1.15 "HC4" 6.3 1.20208152801713 0.399999999999999
"2488" "H1102" 2.3 2.3 "HC4" 5.9 "H896" 0.1 1.7 "HC4" 4.1 2.28035085019828 1.8
"2489" "H1102" 2.3 2.3 "HC4" 5.9 "H897" 10.4 -0.05 "HC4" 5.8 8.43400853687024 0.100000000000001
"2490" "H1102" 2.3 2.3 "HC4" 5.9 "H898" 0.25 3.95 "HC4" 5.7 2.63153947338815 0.2
"2491" "H1102" 2.3 2.3 "HC4" 5.9 "H899" 1.15 4.05 "HC4" 5.2 2.09403915913719 0.7
"2506" "H1103" 2.3 2.2 "HC4" 6.3 "H1100" 1.2 3.25 "HC4" 5 1.52069063257455 1.3
"2507" "H1103" 2.3 2.2 "HC4" 6.3 "H1101" 3.3 2.45 "HC4" 4.6 1.03077640640442 1.7
"2508" "H1103" 2.3 2.2 "HC4" 6.3 "H1102" 2.3 2.3 "HC4" 5.9 0.0999999999999996 0.399999999999999
"2510" "H1103" 2.3 2.2 "HC4" 6.3 "H1104" 9.15 2.8 "HC4" 5.6 6.87622716320513 0.7
"2511" "H1103" 2.3 2.2 "HC4" 6.3 "H1105" 15.3 0.45 "HC4" 6.1 13.1172596223449 0.2
"2512" "H1103" 2.3 2.2 "HC4" 6.3 "H1106" 15.75 1.15 "HC4" 6.7 13.4909228742885 0.4
"2513" "H1103" 2.3 2.2 "HC4" 6.3 "H1107" 16 1.1 "HC4" 6.7 13.7440896388229 0.4
"2514" "H1103" 2.3 2.2 "HC4" 6.3 "H1108" 13.15 8.55 "HC4" 7 12.5715949664313 0.7
"2515" "H1103" 2.3 2.2 "HC4" 6.3 "H1109" 13.3 8.7 "HC4" 7.2 12.7769323391806 0.9
"2516" "H1103" 2.3 2.2 "HC4" 6.3 "H1110" 13.15 8.9 "HC4" 7.6 12.7519606335653 1.3
"2517" "H1103" 2.3 2.2 "HC4" 6.3 "H1111" 8.65 9 "HC4" 6.6 9.3038970329642 0.3
"2518" "H1103" 2.3 2.2 "HC4" 6.3 "H1112" 8 8.3 "HC4" 6 8.34865258589672 0.3
"2519" "H1103" 2.3 2.2 "HC4" 6.3 "H1113" 8.05 7.5 "HC4" 6 7.82000639385928 0.3
"2520" "H1103" 2.3 2.2 "HC4" 6.3 "H1114" 7.95 7.5 "HC4" 6.8 7.74677352192511 0.5
"2521" "H1103" 2.3 2.2 "HC4" 6.3 "H1115" 7.95 7 "HC4" 7 7.41366980651283 0.7
"2522" "H1103" 2.3 2.2 "HC4" 6.3 "H1116" 6.8 8.2 "HC4" 6.6 7.5 0.3
"2523" "H1103" 2.3 2.2 "HC4" 6.3 "H1117" 6.1 5.5 "HC4" 5 5.03289181286465 1.3
"2524" "H1103" 2.3 2.2 "HC4" 6.3 "H1118" 5.8 8.2 "HC4" 5.9 6.9462219947249 0.399999999999999
"2525" "H1103" 2.3 2.2 "HC4" 6.3 "H1119" 5.3 7.7 "HC4" 6 6.26498204307083 0.3
"2526" "H1103" 2.3 2.2 "HC4" 6.3 "H1120" 2.6 7.4 "HC4" 4.8 5.20864665724217 1.5
"2527" "H1103" 2.3 2.2 "HC4" 6.3 "H1121" 0.4 5.8 "HC4" 5.7 4.07062648740952 0.6
"2528" "H1103" 2.3 2.2 "HC4" 6.3 "H1122" 9.5 8.9 "HC4" 6.4 9.8351410767716 0.100000000000001
"2529" "H1103" 2.3 2.2 "HC4" 6.3 "H1123" 12.6 9.1 "HC4" 8 12.397580409096 1.7
"2903" "H1103" 2.3 2.2 "HC4" 6.3 "H894" 1.25 0.85 "HC4" 6.5 1.71026313764871 0.2
"2904" "H1103" 2.3 2.2 "HC4" 6.3 "H895" 1.95 1.15 "HC4" 6.3 1.10679718105893 0
"2905" "H1103" 2.3 2.2 "HC4" 6.3 "H896" 0.1 1.7 "HC4" 4.1 2.2561028345357 2.2
"2906" "H1103" 2.3 2.2 "HC4" 6.3 "H897" 10.4 -0.05 "HC4" 5.8 8.40669376152123 0.5
"2907" "H1103" 2.3 2.2 "HC4" 6.3 "H898" 0.25 3.95 "HC4" 5.7 2.69536639438871 0.6
"2908" "H1103" 2.3 2.2 "HC4" 6.3 "H899" 1.15 4.05 "HC4" 5.2 2.1783020910792 1.1
"2923" "H1104" 9.15 2.8 "HC4" 5.6 "H1100" 1.2 3.25 "HC4" 5 7.9627256639922 0.6
"2924" "H1104" 9.15 2.8 "HC4" 5.6 "H1101" 3.3 2.45 "HC4" 4.6 5.86046073274107 1
"2925" "H1104" 9.15 2.8 "HC4" 5.6 "H1102" 2.3 2.3 "HC4" 5.9 6.86822393344888 0.300000000000001
"2926" "H1104" 9.15 2.8 "HC4" 5.6 "H1103" 2.3 2.2 "HC4" 6.3 6.87622716320513 0.7
"2928" "H1104" 9.15 2.8 "HC4" 5.6 "H1105" 15.3 0.45 "HC4" 6.1 6.58369197335355 0.5
"2929" "H1104" 9.15 2.8 "HC4" 5.6 "H1106" 15.75 1.15 "HC4" 6.7 6.80312428226914 1.1
"2930" "H1104" 9.15 2.8 "HC4" 5.6 "H1107" 16 1.1 "HC4" 6.7 7.05779710674655 1.1
"2931" "H1104" 9.15 2.8 "HC4" 5.6 "H1108" 13.15 8.55 "HC4" 7 7.00446286306095 1.4
"2932" "H1104" 9.15 2.8 "HC4" 5.6 "H1109" 13.3 8.7 "HC4" 7.2 7.21335566848052 1.6
"2933" "H1104" 9.15 2.8 "HC4" 5.6 "H1110" 13.15 8.9 "HC4" 7.6 7.29451848993475 2
"2934" "H1104" 9.15 2.8 "HC4" 5.6 "H1111" 8.65 9 "HC4" 6.6 6.22012861603359 1
"2935" "H1104" 9.15 2.8 "HC4" 5.6 "H1112" 8 8.3 "HC4" 6 5.61894118139708 0.4
"2936" "H1104" 9.15 2.8 "HC4" 5.6 "H1113" 8.05 7.5 "HC4" 6 4.82700735445887 0.4
"2937" "H1104" 9.15 2.8 "HC4" 5.6 "H1114" 7.95 7.5 "HC4" 6.8 4.85077313425396 1.2
"2938" "H1104" 9.15 2.8 "HC4" 5.6 "H1115" 7.95 7 "HC4" 7 4.36806593356831 1.4
"2939" "H1104" 9.15 2.8 "HC4" 5.6 "H1116" 6.8 8.2 "HC4" 6.6 5.88918500303735 1
"2940" "H1104" 9.15 2.8 "HC4" 5.6 "H1117" 6.1 5.5 "HC4" 5 4.07338925220755 0.6
"2941" "H1104" 9.15 2.8 "HC4" 5.6 "H1118" 5.8 8.2 "HC4" 5.9 6.35472265327134 0.300000000000001
"2942" "H1104" 9.15 2.8 "HC4" 5.6 "H1119" 5.3 7.7 "HC4" 6 6.2315728351677 0.4
"2943" "H1104" 9.15 2.8 "HC4" 5.6 "H1120" 2.6 7.4 "HC4" 4.8 8.00390529679106 0.8
"2944" "H1104" 9.15 2.8 "HC4" 5.6 "H1121" 0.4 5.8 "HC4" 5.7 9.25 0.100000000000001
"2945" "H1104" 9.15 2.8 "HC4" 5.6 "H1122" 9.5 8.9 "HC4" 6.4 6.11003273313654 0.800000000000001
